date,Country,Product,forecast,month,year
2020-01-01,Country_A,Product_X,3942.7600502774253,1,2020
2020-02-01,Country_A,Product_X,4076.871340226049,2,2020
2020-03-01,Country_A,Product_X,4630.772909417856,3,2020
2020-04-01,Country_A,Product_X,4215.67423673732,4,2020
2020-05-01,Country_A,Product_X,4158.368003492777,5,2020
2020-06-01,Country_A,Product_X,4504.952953513279,6,2020
2020-07-01,Country_A,Product_X,4343.6874130243605,7,2020
2020-08-01,Country_A,Product_X,4339.573943161906,8,2020
2020-09-01,Country_A,Product_X,4383.237463160463,9,2020
2020-10-01,Country_A,Product_X,4307.59918156088,10,2020
2020-11-01,Country_A,Product_X,4337.779997780636,11,2020
2020-12-01,Country_A,Product_X,4573.841497791397,12,2020
2020-01-01,Country_A,Product_Y,5431.767692086493,1,2020
2020-02-01,Country_A,Product_Y,5489.469354773917,2,2020
2020-03-01,Country_A,Product_Y,7328.736432320604,3,2020
2020-04-01,Country_A,Product_Y,6631.469659043506,4,2020
2020-05-01,Country_A,Product_Y,6697.394646119861,5,2020
2020-06-01,Country_A,Product_Y,7278.483795307688,6,2020
2020-07-01,Country_A,Product_Y,6704.507661997664,7,2020
2020-08-01,Country_A,Product_Y,6577.402085354662,8,2020
2020-09-01,Country_A,Product_Y,7185.1281175146805,9,2020
2020-10-01,Country_A,Product_Y,6503.75312699866,10,2020
2020-11-01,Country_A,Product_Y,6932.243359130884,11,2020
2020-12-01,Country_A,Product_Y,7323.5439604794365,12,2020
2020-01-01,Country_A,Product_Z,4964.972200219471,1,2020
2020-02-01,Country_A,Product_Z,4877.529705610184,2,2020
2020-03-01,Country_A,Product_Z,6174.512588484501,3,2020
2020-04-01,Country_A,Product_Z,5155.279112408359,4,2020
2020-05-01,Country_A,Product_Z,5286.252500706162,5,2020
2020-06-01,Country_A,Product_Z,6084.029805532834,6,2020
2020-07-01,Country_A,Product_Z,5275.827258085697,7,2020
2020-08-01,Country_A,Product_Z,5385.056812645137,8,2020
2020-09-01,Country_A,Product_Z,5939.024771005889,9,2020
2020-10-01,Country_A,Product_Z,5327.744970262188,10,2020
2020-11-01,Country_A,Product_Z,5686.540097895074,11,2020
2020-12-01,Country_A,Product_Z,5968.398115791286,12,2020
2020-01-01,Country_B,Product_X,3862.594630294312,1,2020
2020-02-01,Country_B,Product_X,4378.782458296939,2,2020
2020-03-01,Country_B,Product_X,5924.858679066544,3,2020
2020-04-01,Country_B,Product_X,4179.571909775667,4,2020
2020-05-01,Country_B,Product_X,4502.547032812954,5,2020
2020-06-01,Country_B,Product_X,5875.874714501588,6,2020
2020-07-01,Country_B,Product_X,4065.133311643412,7,2020
2020-08-01,Country_B,Product_X,4576.128094588308,8,2020
2020-09-01,Country_B,Product_X,5763.71384406019,9,2020
2020-10-01,Country_B,Product_X,4397.683823774715,10,2020
2020-11-01,Country_B,Product_X,4574.397653581388,11,2020
2020-12-01,Country_B,Product_X,5869.664506428262,12,2020
2020-01-01,Country_B,Product_Y,3854.3218360331634,1,2020
2020-02-01,Country_B,Product_Y,4586.182763078438,2,2020
2020-03-01,Country_B,Product_Y,7723.317593898529,3,2020
2020-04-01,Country_B,Product_Y,5140.116924335143,4,2020
2020-05-01,Country_B,Product_Y,4937.323789038088,5,2020
2020-06-01,Country_B,Product_Y,7415.277236893058,6,2020
2020-07-01,Country_B,Product_Y,5079.406419431297,7,2020
2020-08-01,Country_B,Product_Y,5144.031532925302,8,2020
2020-09-01,Country_B,Product_Y,7256.5741426850145,9,2020
2020-10-01,Country_B,Product_Y,5303.78670806275,10,2020
2020-11-01,Country_B,Product_Y,6117.523934415801,11,2020
2020-12-01,Country_B,Product_Y,7484.075775797452,12,2020
2020-01-01,Country_B,Product_Z,4247.344530349768,1,2020
2020-02-01,Country_B,Product_Z,4505.612685503887,2,2020
2020-03-01,Country_B,Product_Z,5402.411126981871,3,2020
2020-04-01,Country_B,Product_Z,4360.983981622939,4,2020
2020-05-01,Country_B,Product_Z,4594.18246609658,5,2020
2020-06-01,Country_B,Product_Z,5374.724407303299,6,2020
2020-07-01,Country_B,Product_Z,4315.730848558764,7,2020
2020-08-01,Country_B,Product_Z,4368.539588412468,8,2020
2020-09-01,Country_B,Product_Z,5393.438189611279,9,2020
2020-10-01,Country_B,Product_Z,4731.0944843779325,10,2020
2020-11-01,Country_B,Product_Z,4685.675658307996,11,2020
2020-12-01,Country_B,Product_Z,5477.408903271169,12,2020
2020-01-01,Country_C,Product_X,6505.611570824494,1,2020
2020-02-01,Country_C,Product_X,7518.675189101785,2,2020
2020-03-01,Country_C,Product_X,10783.382904718697,3,2020
2020-04-01,Country_C,Product_X,7150.917254425272,4,2020
2020-05-01,Country_C,Product_X,7333.399190653499,5,2020
2020-06-01,Country_C,Product_X,11368.930458046048,6,2020
2020-07-01,Country_C,Product_X,7723.186204552301,7,2020
2020-08-01,Country_C,Product_X,7898.477023765029,8,2020
2020-09-01,Country_C,Product_X,11378.99107370712,9,2020
2020-10-01,Country_C,Product_X,7829.358736385923,10,2020
2020-11-01,Country_C,Product_X,8179.880470354225,11,2020
2020-12-01,Country_C,Product_X,12671.105074689405,12,2020
2020-01-01,Country_C,Product_Y,7920.786812414329,1,2020
2020-02-01,Country_C,Product_Y,8207.025595545814,2,2020
2020-03-01,Country_C,Product_Y,10336.932400241341,3,2020
2020-04-01,Country_C,Product_Y,8483.677032460248,4,2020
2020-05-01,Country_C,Product_Y,8515.661898902623,5,2020
2020-06-01,Country_C,Product_Y,10344.247869772587,6,2020
2020-07-01,Country_C,Product_Y,8671.230318349302,7,2020
2020-08-01,Country_C,Product_Y,8487.017428329973,8,2020
2020-09-01,Country_C,Product_Y,10217.649531096129,9,2020
2020-10-01,Country_C,Product_Y,9144.740000247997,10,2020
2020-11-01,Country_C,Product_Y,9279.601758548984,11,2020
2020-12-01,Country_C,Product_Y,10102.540486758635,12,2020
2020-01-01,Country_C,Product_Z,4326.559378288511,1,2020
2020-02-01,Country_C,Product_Z,4779.876398723687,2,2020
